sample,freq_GHz,Zapp_d_Re,Zapp_d_Im,Zapp_t_Re,Zapp_t_Im,Zth_pred_Re,Zth_pred_Im,Zth_true_Re,Zth_true_Im
2573,14.860460829493087,293.2678,799.1226,372.303,748.4119,2010.1884938796654,1385.3917254004216,1686.9515862705805,909.4364313280573
2573,14.960599078341014,289.72873,795.03735,368.16238,745.45074,2002.0383370913994,1388.0627050008472,1682.4125105811552,912.0882142722611
2573,15.06073732718894,286.24927,790.98346,364.08176,742.49677,1993.9029785965267,1390.6767878401483,1677.8689560035589,914.7135858141867
2573,15.160875576036865,282.82712,786.96234,360.0593,739.5524,1985.7829166878435,1393.2343754482722,1673.3212150047864,917.3125056491174
2573,15.261013824884792,279.46194,782.9726,356.09476,736.6165,1977.6786387374166,1395.7358746713396,1668.7695773079622,919.884939948629
2573,15.361152073732718,276.1525,779.0137,352.1868,733.68915,1969.5906212878733,1398.1816973620164,1664.2143298730805,922.4308611766983
2573,15.461290322580645,272.8972,775.0865,348.3349,730.7713,1961.519330146026,1400.5722600788629,1659.65575687902,924.950247910988
2573,15.561428571428571,269.69543,771.18976,344.53748,727.863,1953.4652204787164,1402.9079837944319,1655.0941397068036,927.4430846691051
2573,15.661566820276498,266.5456,767.3245,340.7939,724.96515,1945.4287369107308,1405.189293611878,1650.5297569240759,929.9093617396372
2573,15.761705069124423,263.4469,763.48956,337.1038,722.07684,1937.410313624686,1407.4166184898727,1645.9628842707718,932.3490750177832
2573,15.86184331797235,260.39838,759.6849,333.4654,719.19934,1929.410374462745,1409.5903909756053,1641.3937946459523,934.762225845408
2573,15.961981566820276,257.39886,755.9107,329.8786,716.3323,1921.429333030058,1411.711046945666,1636.822758095786,937.1488208553537
2573,16.062119815668204,254.44746,752.1662,326.34204,713.476,1913.467592799804,1413.7790253546248,1632.250041802642,939.5088718198531
2573,16.162258064516127,251.5427,748.452,322.85486,710.6314,1905.525547219734,1415.7947679910976,1627.6759100752802,941.8423955028933
2573,16.262396313364054,248.68456,744.76697,319.41702,707.7972,1897.6035798200887,1417.7587192411336,1623.1006243401046,944.149413516397
2573,16.36253456221198,245.87141,741.11127,316.02676,704.9747,1889.7020643228036,1419.67132585873,1618.5244431334684,946.429952180075
2573,16.462672811059907,243.10269,737.4847,312.6836,702.164,1881.8213647518833,1421.5330367433085,1613.9476220949955,948.6840423848378
2573,16.562811059907833,240.37741,733.88715,309.387,699.36536,1873.9618355448536,1423.344302723983,1609.370413961903,950.911719459632
2573,16.66294930875576,237.695,730.3179,306.136,696.57825,1866.1238216651918,1425.1055763504519,1604.793068564295,953.1130230415947
2573,16.763087557603686,235.05376,726.7772,302.92953,693.8033,1858.307658715637,1426.8173116903588,1600.215832821416,955.2879969494146
2573,16.863225806451613,232.45393,723.2646,299.76782,691.0402,1850.5136730522916,1428.4799641329646,1595.6389507388267,957.436689059794
2573,16.96336405529954,229.89397,719.77997,296.64896,688.2897,1842.7421818994296,1430.0939901989796,1591.0626634064959,959.5591511869131
2573,17.063502304147466,227.37314,716.3231,293.57272,685.55176,1834.9934934649111,1431.6598473564093,1586.4872089977748,961.655438964805
2573,17.163640552995393,224.8913,712.8936,290.53885,682.826,1827.2679070561364,1433.1779938422721,1581.9128227692363,963.7256117325448
2573,17.26377880184332,222.44682,709.4916,287.5459,680.1132,1819.565713196448,1434.648888490043,1577.339737061362,965.7697324221757
2573,17.363917050691242,220.04001,706.1161,284.5941,677.4124,1811.8871937419005,1436.0729905626927,1572.7681813000481,967.7878674492788
2573,17.46405529953917,217.66922,702.7678,281.68204,674.72504,1804.2326219983304,1437.450759591188,1568.198381998915,969.7800866061204
2573,17.564193548387095,215.33406,699.4458,278.80878,672.05066,1796.6022628386504,1438.78265521832,1563.6305627624015,971.7464629572916
2573,17.664331797235022,213.0338,696.1504,275.97455,669.38904,1788.9963728202886,1440.069137047738,1559.0649442896147,973.6870727377736
2573,17.76447004608295,210.76834,692.8805,273.17868,666.7399,1781.4152003027175,1441.3106644980535,1554.5017443789293,975.6019952533604
2573,17.864608294930875,208.53629,689.6369,270.4199,664.1043,1773.8589855649968,1442.5076966619156,1549.9411779333007,977.4913127833718
2573,17.9647465437788,206.33725,686.4188,267.69797,661.4817,1766.3279609232666,1443.6606921699085,1545.3834569662852,979.355110485592
2573,18.064884792626728,204.17062,683.22595,265.01224,658.8721,1758.822350848143,1444.7701090591838,1540.8287906087432,981.1934763033804
2573,18.165023041474655,202.03592,680.05817,262.362,656.2757,1751.3423720819344,1445.8364046466904,1536.277385116205,983.0065008748884
2573,18.26516129032258,199.93227,676.9156,259.74698,653.69257,1743.8882337556431,1446.8600354069108,1531.7294438768824,984.7942774443324
2573,18.365299539170508,197.85934,673.79755,257.16635,651.12286,1736.4601375056848,1447.841456853977,1527.1851674203056,986.5569017752686
2573,18.465437788018434,195.81673,670.7038,254.61983,648.566,1729.0582775902778,1448.7811234280698,1522.6447534265722,988.294472065819
2573,18.56557603686636,193.80345,667.63446,252.10672,646.0223,1721.6828410054568,1449.6794883860011,1518.108396736183,990.0070888657979
2573,18.665714285714284,191.81892,664.5892,249.62622,643.49243,1714.334007600647,1450.5370036958568,1513.5762893604513,991.6948549956929
2573,18.76585253456221,189.86316,661.56744,247.17831,640.97546,1707.011950193773,1451.3541199356264,1509.0486204924673,993.3578754674562
2573,18.865990783410137,187.9351,658.56946,244.76224,638.47174,1699.7168346858468,1452.1312861957022,1504.5255765186014,994.9962574070622
2573,18.966129032258063,186.03459,655.5945,242.37732,635.9811,1692.4488201749894,1452.8689499851569,1500.0073410305263,996.6101099787859
2573,19.06626728110599,184.16107,652.64307,240.02359,633.504,1685.208059069858,1453.5675571417103,1495.4940948377434,998.1995443111676
2573,19.166405529953916,182.31389,649.71436,237.69997,631.0402,1677.9946972024277,1454.227551745283,1490.986015980595,999.7646734246207
2573,19.266543778801843,180.49252,646.8081,235.40604,628.5896,1670.8088739400985,1454.8493760350595,1486.4832797437523,1001.3056121606451
2573,19.36668202764977,178.6971,643.9244,233.14197,626.15216,1663.6507222970922,1455.4334703299542,1481.986058670148,1002.8224771126122
2573,19.466820276497696,176.9262,641.0631,230.90646,623.72797,1656.5203690451056,1455.9802729524147,1477.4945225753593,1004.3153865580854
2573,19.566958525345623,175.18034,638.2235,228.69958,621.31665,1649.4179348231821,1456.490220155457,1473.008838562406,1005.7844603926394
2573,19.66709677419355,173.45833,635.40625,226.5205,618.91907,1642.3435342467878,1456.963746052864,1468.5291710369588,1007.2298200651501
2573,19.767235023041476,171.76016,632.61017,224.36923,616.53455,1635.2972760160426,1457.4012825524542,1464.0556817229406,1008.6515885145217
2573,19.867373271889402,170.08508,629.83575,222.24501,614.16296,1628.279263023101,1457.803259292349,1459.5885296785032,1010.0498901078162
2573,19.967511520737325,168.43344,627.0822,220.14809,611.8042,1621.2895924586435,1458.170103580157,1455.1278713123709,1011.4248505797626
2573,20.067649769585252,166.80397,624.34973,218.07703,609.45886,1614.328355917455,1458.502240334992,1450.6738604005288,1012.776596973613
2573,20.16778801843318,165.19669,621.6382,216.03198,607.1263,1607.395639503083,1458.8000920322615,1446.226648103247,1014.105257583314
2573,20.267926267281105,163.61089,618.94714,214.01233,604.807,1600.4915239315324,1459.064078651139,1441.7863829824262,1015.4109618969763
2573,20.36806451612903,162.04666,616.2765,212.01802,602.5005,1593.6160846339994,1459.2946176246578,1437.3532110192464,1016.6938405416039
2573,20.468202764976958,160.50337,613.62604,210.04845,600.20685,1586.7693918586076,1459.4921237923472,1432.9272756321163,1017.9540252290686
2573,20.568341013824885,158.98094,610.9955,208.10316,597.9261,1579.951510771145,1459.6570093553464,1428.508717694892,1019.1916487032951
2573,20.66847926267281,157.47838,608.38495,206.18195,595.6583,1573.1625015547754,1459.789683833926,1424.097675555373,1020.4068446886387
