source_param,sweep_val,re_encoded_Rbv,re_encoded_Cbv,re_encoded_Rdv,re_encoded_Ldv,re_encoded_Cdv,re_encoded_Rav
Rdv,0.6835443,0.3076667,0.22685277,0.58933437,0.030377785,-0.054764275,0.20318218
Rdv,0.73417723,0.3078913,0.22688597,0.6164056,0.031665336,-0.054010373,0.20474462
Rdv,0.7848101,0.30821422,0.22694787,0.6421665,0.033067863,-0.053249165,0.20621008
Rdv,0.835443,0.3086309,0.22703175,0.6666434,0.034551397,-0.052487865,0.20758116
Rdv,0.886076,0.30913502,0.22713263,0.68987083,0.036082007,-0.051732194,0.20887676
Rdv,0.93670887,0.309726,0.2272457,0.7118787,0.037632864,-0.05098764,0.21009125
Rdv,0.98734176,0.31039777,0.22736737,0.73271006,0.03918698,-0.05025774,0.21124786
Rdv,1.0379747,0.31114745,0.22749461,0.7524019,0.040727716,-0.049545877,0.21235184
Rdv,1.0886075,0.3119738,0.22762504,0.7709918,0.04223963,-0.048854973,0.21340734
Rdv,1.1392405,0.31287223,0.2277558,0.7885212,0.043719307,-0.048187047,0.21441261
Rdv,1.1898735,0.31384128,0.22788617,0.80503416,0.04515572,-0.047543034,0.21539468
Rdv,1.2405063,0.31487873,0.22801445,0.82056105,0.046542905,-0.046924636,0.21634033
Rdv,1.2911392,0.3159823,0.2281399,0.835144,0.04788104,-0.046332486,0.21725254
Rdv,1.3417722,0.3171474,0.22826189,0.84882736,0.049170524,-0.045766182,0.21816468
Rdv,1.392405,0.31837457,0.22838005,0.8616395,0.050403953,-0.045226328,0.21905772
Rdv,1.443038,0.3196618,0.22849406,0.87361336,0.051583316,-0.04471282,0.21993397
Rdv,1.493671,0.32100466,0.22860342,0.8847885,0.052710395,-0.044224996,0.22081275
Rdv,1.5443038,0.32240534,0.22870858,0.89519083,0.05378416,-0.0437632,0.22167924
Rdv,1.5949367,0.32385787,0.22880946,0.9048566,0.05480728,-0.04332588,0.22255498
Rdv,1.6455696,0.32536262,0.22890617,0.913814,0.055781994,-0.042912595,0.2234341
Rdv,1.6962025,0.32691976,0.22899877,0.92207867,0.05670085,-0.042524718,0.22431338
Rdv,1.7468355,0.32852393,0.22908771,0.9296963,0.057579093,-0.042158164,0.22520731
Rdv,1.7974683,0.3301768,0.22917284,0.93667305,0.058407206,-0.041814916,0.22610095
Rdv,1.8481013,0.3318757,0.22925484,0.94304156,0.059189472,-0.041492984,0.2270145
Rdv,1.8987342,0.33362067,0.22933382,0.94882166,0.05992864,-0.04119207,0.22793177
Rdv,1.949367,0.33540666,0.22941004,0.95404065,0.06062933,-0.040910326,0.22887129
Rdv,2.0,0.3372363,0.22948396,0.9587096,0.061286002,-0.04064829,0.22982842
Ldv,-2.0,0.38351074,0.23153451,0.21898074,0.021809755,-0.03648325,0.23373295
Ldv,-1.949367,0.38083172,0.23155499,0.22269495,0.02158821,-0.03726186,0.23265971
Ldv,-1.8987342,0.37819055,0.23157004,0.2262683,0.02138073,-0.0380292,0.23158303
Ldv,-1.8481013,0.37558746,0.23157902,0.22971164,0.021203196,-0.038783133,0.23051655
Ldv,-1.7974683,0.37302297,0.2315821,0.23301841,0.021045746,-0.03952522,0.22944364
Ldv,-1.7468355,0.3704951,0.23157947,0.23619728,0.020920213,-0.040253803,0.22837792
Ldv,-1.6962025,0.36800948,0.2315713,0.23924185,0.020809056,-0.040971257,0.22730015
Ldv,-1.6455696,0.36556223,0.23155785,0.2421598,0.020724487,-0.041676864,0.22622333
Ldv,-1.5949367,0.36315605,0.23153839,0.24495395,0.020669414,-0.042369522,0.22514623
Ldv,-1.5443038,0.360789,0.23151371,0.24762623,0.02064092,-0.04305082,0.22406082
Ldv,-1.493671,0.35846683,0.23148356,0.25017533,0.020633982,-0.043721188,0.22296067
Ldv,-1.443038,0.35618356,0.23144811,0.25261328,0.020665681,-0.04437824,0.22186776
Ldv,-1.392405,0.3539442,0.23140784,0.25493494,0.020720093,-0.045024864,0.22076806
Ldv,-1.3417722,0.35174868,0.23136234,0.25714442,0.02080086,-0.045660175,0.2196504
Ldv,-1.2911392,0.3495968,0.2313121,0.25924626,0.020908903,-0.046284348,0.21852694
Ldv,-1.2405063,0.347491,0.23125736,0.26124227,0.021042434,-0.04689885,0.21738857
Ldv,-1.1898735,0.34542802,0.23119812,0.26314154,0.021217424,-0.047501225,0.21624266
Ldv,-1.1392405,0.34341314,0.23113471,0.26494277,0.021415317,-0.048093695,0.21508376
Ldv,-1.0886075,0.34144372,0.23106706,0.26665074,0.02164615,-0.048675604,0.21391414
Ldv,-1.0379747,0.33952168,0.23099568,0.26826927,0.02190652,-0.049247995,0.21272877
Ldv,-0.98734176,0.33764762,0.23092072,0.26980278,0.022199973,-0.049810454,0.21153224
Ldv,-0.93670887,0.33582237,0.23084258,0.27125663,0.022525093,-0.050363235,0.21031857
Ldv,-0.886076,0.33404702,0.23076114,0.2726317,0.022879627,-0.050906684,0.20909223
Ldv,-0.835443,0.33232042,0.23067713,0.27393705,0.023269262,-0.051440965,0.20785704
Ldv,-0.7848101,0.33064502,0.23059027,0.27517295,0.02368968,-0.05196665,0.20660685
Ldv,-0.73417723,0.32902026,0.23050149,0.27634466,0.024145143,-0.05248311,0.20533831
Ldv,-0.6835443,0.32744852,0.23041062,0.27745765,0.024632355,-0.052991856,0.20405826
Ldv,-0.6329114,0.32592747,0.23031801,0.27851757,0.02515786,-0.053491157,0.20276922
Ldv,-0.5822785,0.32446158,0.23022416,0.2795221,0.025708728,-0.053984277,0.2014593
