source_param,sweep_val,re_encoded_Rbv,re_encoded_Cbv,re_encoded_Rdv,re_encoded_Cdv,re_encoded_Rav
Cdv,0.05,0.8098988,0.67655116,0.7591052,0.04132993,0.45115232
Cdv,0.061392404,0.8090973,0.67639196,0.75905937,0.05081803,0.44204274
Cdv,0.07278481,0.8062116,0.676057,0.7586728,0.06271102,0.44378093
Cdv,0.08417722,0.8040625,0.6753524,0.75915974,0.07678409,0.45796466
Cdv,0.09556962,0.8008229,0.67596203,0.7597664,0.09003442,0.4796526
Cdv,0.106962025,0.7970536,0.676586,0.7625543,0.10658859,0.5120531
Cdv,0.11835443,0.7944243,0.67665285,0.7632212,0.11966687,0.53800386
Cdv,0.12974684,0.7933259,0.6763208,0.76170397,0.12927274,0.54846627
Cdv,0.14113924,0.79018426,0.6761784,0.76182556,0.14003533,0.53233147
Cdv,0.15253164,0.78570265,0.6773423,0.76213187,0.15198886,0.5096412
Cdv,0.16392405,0.7817878,0.6782952,0.76435167,0.16323937,0.49042976
Cdv,0.17531645,0.78062594,0.6781673,0.7650525,0.17467192,0.48470202
Cdv,0.18670887,0.7801411,0.677214,0.765648,0.18569948,0.48436955
Cdv,0.19810127,0.7795491,0.6762971,0.76555645,0.19661506,0.4847112
Cdv,0.20949367,0.77972263,0.6772031,0.76476425,0.20810546,0.48341
Cdv,0.22088608,0.7795906,0.67787945,0.7629989,0.2183619,0.4852701
Cdv,0.23227848,0.7814047,0.67791384,0.76211524,0.22821912,0.48743045
Cdv,0.24367088,0.78342694,0.67807263,0.7613596,0.23938659,0.49217552
Cdv,0.2550633,0.7838309,0.6787474,0.76007086,0.2508017,0.49288192
Cdv,0.2664557,0.784105,0.6799901,0.7582829,0.26084027,0.49351835
Cdv,0.2778481,0.78454643,0.680581,0.7571415,0.27316913,0.48695102
Cdv,0.2892405,0.7855638,0.6810415,0.75511336,0.28609622,0.4764693
Cdv,0.30063292,0.7864991,0.6814052,0.75364137,0.29745564,0.47371885
Cdv,0.3120253,0.7870418,0.6820319,0.7526218,0.3093639,0.48321953
Cdv,0.32341772,0.78855306,0.6821349,0.7521054,0.32056394,0.49272385
Cdv,0.33481014,0.7899375,0.68214154,0.751835,0.33230236,0.49755004
Cdv,0.34620252,0.7915678,0.6814003,0.7514289,0.3449723,0.49982554
Cdv,0.35759494,0.79299426,0.680373,0.7509324,0.35717982,0.50103074
Cdv,0.36898735,0.7943032,0.67930496,0.75040334,0.36924624,0.50304043
Cdv,0.38037974,0.79537857,0.6785421,0.75026184,0.3803549,0.5064951
Cdv,0.39177215,0.7959192,0.6780293,0.7501639,0.39084813,0.50912863
Cdv,0.40316457,0.7956483,0.6772466,0.7496313,0.40198252,0.5095549
Cdv,0.41455695,0.7955833,0.6761941,0.74911606,0.41325164,0.51079535
Cdv,0.42594936,0.7960799,0.6751425,0.75045705,0.42614734,0.50742155
Cdv,0.43734178,0.7967601,0.67412055,0.7511895,0.43838325,0.50250524
Cdv,0.44873416,0.7975824,0.67333966,0.7515746,0.45007667,0.5002213
Cdv,0.46012658,0.7984076,0.6726395,0.7520222,0.46091896,0.49839678
Cdv,0.471519,0.7991699,0.67208725,0.75247043,0.47169405,0.496123
Cdv,0.48291138,0.80002517,0.6716366,0.7527828,0.48230302,0.4931374
Cdv,0.4943038,0.800703,0.67119384,0.75291187,0.4926477,0.48944035
Cdv,0.5056962,0.80105025,0.6708723,0.7529823,0.50290686,0.485904
Cdv,0.5170886,0.8012552,0.67075634,0.75368655,0.5128462,0.48788154
Cdv,0.528481,0.8010431,0.6711276,0.75480926,0.52324396,0.49030238
Cdv,0.5398734,0.80077696,0.67188454,0.7568547,0.5351779,0.49153447
Cdv,0.55126584,0.80007637,0.6726285,0.75752884,0.54814774,0.49165466
Cdv,0.56265825,0.7996284,0.6731735,0.75805783,0.560429,0.49018452
Cdv,0.5740506,0.7997437,0.673737,0.7574027,0.5729104,0.49143174
Cdv,0.585443,0.80030054,0.67387235,0.75692385,0.5843961,0.49323606
Cdv,0.59683543,0.8013503,0.6739622,0.7565042,0.5953664,0.49413046
Cdv,0.60822785,0.8031974,0.6740064,0.75587726,0.6068709,0.49485117
Cdv,0.61962026,0.80494523,0.67414725,0.75523585,0.6189381,0.49474084
Cdv,0.6310127,0.80636287,0.6743431,0.75509125,0.6319892,0.49454582
Cdv,0.6424051,0.80657154,0.6747616,0.7549006,0.6432686,0.4958435
Cdv,0.65379745,0.80657864,0.67500734,0.75471586,0.6542857,0.49705285
Cdv,0.66518986,0.80654424,0.6750866,0.7542731,0.6652192,0.4980093
Cdv,0.6765823,0.8064758,0.6750009,0.75377375,0.67606264,0.49901858
Cdv,0.6879747,0.8063919,0.6747958,0.7537982,0.6869439,0.5018848
Cdv,0.6993671,0.8063509,0.6745393,0.7538774,0.6975251,0.50457686
Cdv,0.7107595,0.80613434,0.67430043,0.75467443,0.7081702,0.50691396
Cdv,0.7221519,0.80520004,0.6740066,0.7549586,0.72004294,0.50797033
Cdv,0.7335443,0.80540663,0.67391616,0.7555987,0.7347844,0.50799435
Cdv,0.7449367,0.8055838,0.6737914,0.75636405,0.7495738,0.5077571
Cdv,0.7563291,0.80539024,0.673463,0.75705755,0.7632653,0.50732875
Cdv,0.76772153,0.80512387,0.6731565,0.75761837,0.77606165,0.50685525
Cdv,0.77911395,0.8049513,0.672819,0.75753736,0.787933,0.50619525
Cdv,0.7905063,0.8045762,0.67250866,0.7566434,0.79890716,0.5067437
Cdv,0.8018987,0.8041157,0.6722306,0.75507426,0.809323,0.5084967
Cdv,0.81329113,0.8035473,0.6718509,0.7535278,0.8190664,0.5097247
Cdv,0.82468355,0.8030991,0.67214066,0.75220495,0.82920855,0.50873506
Cdv,0.83607596,0.8023747,0.672549,0.7518966,0.83861524,0.506599
Cdv,0.8474684,0.80151594,0.67293775,0.7519439,0.8473864,0.5039905
Cdv,0.85886073,0.8006466,0.6732824,0.7519547,0.8556201,0.501365
Cdv,0.87025315,0.7997694,0.67345595,0.75191367,0.8636713,0.5013081
Cdv,0.88164556,0.798252,0.6733932,0.7510706,0.8790669,0.502397
Cdv,0.893038,0.79654753,0.6733613,0.75042987,0.8933119,0.5029407
Cdv,0.9044304,0.79437006,0.67309207,0.7501551,0.9055294,0.50376445
Cdv,0.9158228,0.7918191,0.672504,0.7500243,0.9162317,0.50467765
Cdv,0.9272152,0.7892064,0.6718639,0.7494313,0.9256671,0.5060181
Cdv,0.9386076,0.78730226,0.67127514,0.74832726,0.9337697,0.5081316
Cdv,0.95,0.7868664,0.6713555,0.746938,0.9410792,0.510501
Rav,0.05,0.78308284,0.67133504,0.7403223,0.49597186,0.05543256
Rav,0.061392404,0.7838058,0.67129844,0.7420165,0.4956167,0.0649582
Rav,0.07278481,0.7844199,0.6713012,0.74367625,0.49536407,0.076155595
Rav,0.08417722,0.7850675,0.6712433,0.74568105,0.49523035,0.08915118
Rav,0.09556962,0.7856486,0.67120534,0.74796194,0.49501926,0.103960246
Rav,0.106962025,0.78606695,0.67087495,0.7500758,0.49446484,0.120347545
Rav,0.11835443,0.7862319,0.66982454,0.75158846,0.49467513,0.13208476
Rav,0.12974684,0.78604966,0.66854066,0.75305164,0.495354,0.1449857
Rav,0.14113924,0.7864126,0.6675065,0.7541058,0.49583846,0.15996565
Rav,0.15253164,0.7874443,0.6672816,0.7548234,0.49622628,0.17389448
Rav,0.16392405,0.78875744,0.66775703,0.7550158,0.49705002,0.18799178
Rav,0.17531645,0.7898679,0.6681963,0.7551836,0.49778795,0.20208445
Rav,0.18670887,0.79095334,0.6682536,0.7549585,0.49851075,0.21508294
Rav,0.19810127,0.7916405,0.66843015,0.7549407,0.49921444,0.22608472
Rav,0.20949367,0.7921889,0.6686197,0.75477904,0.49953872,0.23599026
Rav,0.22088608,0.79272276,0.66873163,0.75454736,0.499826,0.24625605
Rav,0.23227848,0.7931785,0.66873187,0.75413173,0.5003144,0.25655085
