sv_index,enc_L0,enc_L3,enc_L6,enc_L9,enc_fc_mu,enc_fc_logvar,dec_L0,dec_L2,dec_L4,dec_L6,dec_L8
189,,,9.76433e-08,,,,,,1.4220455e-16,,
190,,,9.193496e-08,,,,,,1.4220455e-16,,
191,,,8.29651e-08,,,,,,1.4220455e-16,,
192,,,7.857428e-08,,,,,,1.4220455e-16,,
193,,,7.175328e-08,,,,,,1.4220455e-16,,
194,,,6.8589934e-08,,,,,,1.4220455e-16,,
195,,,6.548821e-08,,,,,,1.4220455e-16,,
196,,,5.739207e-08,,,,,,1.4220455e-16,,
197,,,5.6679486e-08,,,,,,1.4220455e-16,,
198,,,5.325669e-08,,,,,,1.4220455e-16,,
199,,,4.8907086e-08,,,,,,1.4220455e-16,,
200,,,4.479612e-08,,,,,,1.4220455e-16,,
201,,,4.1906034e-08,,,,,,1.4220455e-16,,
202,,,4.1666457e-08,,,,,,1.4220455e-16,,
203,,,3.6864733e-08,,,,,,1.4220455e-16,,
204,,,3.4059816e-08,,,,,,1.4220455e-16,,
205,,,3.268376e-08,,,,,,1.4220455e-16,,
206,,,3.015955e-08,,,,,,1.4220455e-16,,
207,,,2.7096075e-08,,,,,,1.4220455e-16,,
208,,,2.4679151e-08,,,,,,1.4220455e-16,,
209,,,2.3680844e-08,,,,,,1.4220455e-16,,
210,,,2.2073316e-08,,,,,,1.4220455e-16,,
211,,,2.1391015e-08,,,,,,1.4220455e-16,,
212,,,2.0045567e-08,,,,,,1.4220455e-16,,
213,,,1.956033e-08,,,,,,1.4220455e-16,,
214,,,1.75026e-08,,,,,,1.4220455e-16,,
215,,,1.6964727e-08,,,,,,1.4220455e-16,,
216,,,1.5679927e-08,,,,,,1.4220455e-16,,
217,,,1.478938e-08,,,,,,1.4220455e-16,,
218,,,1.38173935e-08,,,,,,1.4220455e-16,,
219,,,1.2675287e-08,,,,,,1.4220455e-16,,
220,,,1.16697905e-08,,,,,,1.4220455e-16,,
221,,,1.0565337e-08,,,,,,1.4220455e-16,,
222,,,9.822166e-09,,,,,,1.4220455e-16,,
223,,,8.68175e-09,,,,,,1.4220455e-16,,
224,,,8.460363e-09,,,,,,1.4220455e-16,,
225,,,7.71343e-09,,,,,,1.4220455e-16,,
226,,,7.080082e-09,,,,,,1.4220455e-16,,
227,,,6.5872507e-09,,,,,,1.4220455e-16,,
228,,,5.9771907e-09,,,,,,1.4220455e-16,,
229,,,5.6416054e-09,,,,,,1.4220455e-16,,
230,,,5.178269e-09,,,,,,1.4220455e-16,,
231,,,5.0160107e-09,,,,,,1.4220455e-16,,
232,,,4.133686e-09,,,,,,1.4220455e-16,,
233,,,4.059321e-09,,,,,,1.4220455e-16,,
234,,,3.6977597e-09,,,,,,1.4220455e-16,,
235,,,3.603071e-09,,,,,,1.4220455e-16,,
236,,,3.131511e-09,,,,,,1.4220455e-16,,
237,,,2.8634153e-09,,,,,,1.4220455e-16,,
238,,,2.353906e-09,,,,,,1.4220455e-16,,
239,,,2.2634807e-09,,,,,,1.4220455e-16,,
240,,,2.1320783e-09,,,,,,1.4220455e-16,,
241,,,1.635915e-09,,,,,,1.4220455e-16,,
242,,,1.3790667e-09,,,,,,1.4220455e-16,,
243,,,1.2713166e-09,,,,,,1.4220455e-16,,
244,,,1.0307925e-09,,,,,,1.4220455e-16,,
245,,,8.231762e-10,,,,,,1.4220455e-16,,
246,,,7.1214296e-10,,,,,,1.4220455e-16,,
247,,,6.660686e-10,,,,,,1.4220455e-16,,
248,,,4.734289e-10,,,,,,1.4220455e-16,,
249,,,3.433015e-10,,,,,,1.4220455e-16,,
250,,,2.9372757e-10,,,,,,1.4127017e-16,,
251,,,2.3789157e-10,,,,,,1.2730488e-16,,
252,,,2.0626592e-10,,,,,,7.5519605e-17,,
253,,,1.4699165e-10,,,,,,4.5073895e-17,,
254,,,9.008433e-11,,,,,,3.3404045e-17,,
255,,,2.052128e-11,,,,,,7.8931534e-18,,
