sample,freq_GHz,Zapp_d_Re,Zapp_d_Im,Zapp_t_Re,Zapp_t_Im,Zth_pred_Re,Zth_pred_Im,Zth_true_Re,Zth_true_Im
1297,0.14013824884792628,3880.1206,155.24113,3526.1218,125.44779,15162.787888128514,2669.670609198919,14803.005006162037,2610.6780815449265
1297,0.24027649769585255,3868.1228,265.30386,3517.492,214.5265,13813.52821079118,2789.514068074587,13482.898084919898,2704.35275345852
1297,0.3404147465437788,3849.956,374.0805,3504.4084,302.7816,13082.83084287872,2591.877993954572,12775.669560823393,2496.8093539300776
1297,0.44055299539170506,3825.7954,481.06396,3486.9568,389.88156,12683.48050132967,2410.625561537574,12391.891437607295,2310.3259645104627
1297,0.5406912442396314,3795.8513,585.77,3465.275,475.51254,12445.402209735912,2293.0992430149445,12164.510369036496,2188.011443061957
1297,0.6408294930875577,3760.4265,687.7613,3439.5232,559.37775,12289.289567937449,2231.413672416461,12016.429654760548,2120.945028727515
1297,0.7409677419354839,3719.8225,786.6287,3409.8892,641.20184,12177.291155245475,2211.7886966668934,11911.048851724512,2095.2357069527948
1297,0.8411059907834102,3674.4094,882.0204,3376.588,720.73596,12090.142720641468,2222.9671497437107,11829.796357637873,2099.7441392436003
1297,0.9412442396313365,3624.5454,973.6141,3339.8362,797.74927,12017.384963813045,2256.750026992151,11762.605654819043,2126.423837878962
1297,1.0413824884792628,3570.6577,1061.1614,3299.8962,872.0529,11953.00855661153,2307.2823407426845,11703.697066359813,2169.557308340585
1297,1.141520737327189,3513.147,1144.4427,3257.0007,943.46375,11893.393358563811,2370.35221975113,11649.588120534856,2225.046270324101
1297,1.2416589861751153,3452.4429,1223.3029,3211.432,1011.8509,11836.272389452704,2442.880306234676,11598.095495190748,2289.9030411315584
1297,1.3417972350230416,3388.9612,1297.6237,3163.454,1077.0986,11780.181588091275,2522.5725316668977,11547.805791052304,2361.9074440655263
1297,1.4419354838709677,3323.1255,1367.3442,3113.3372,1139.1217,11724.153050376244,2607.687171123593,11497.780849904566,2439.377736652402
1297,1.542073732718894,3255.3406,1432.4414,3061.3499,1197.8624,11667.536562726722,2696.877703262771,11447.386491750678,2521.016571429659
1297,1.6422119815668204,3185.9912,1492.9248,3007.7612,1253.2926,11609.891804457318,2789.085444362914,11396.189164350995,2605.805982436744
1297,1.7423502304147467,3115.4524,1548.85,2952.8145,1305.3901,11550.92103457865,2883.465050749434,11343.891466541825,2692.9346396716155
1297,1.842488479262673,3044.069,1600.2928,2896.775,1354.1858,11490.425791820846,2979.331990971747,11290.290714427942,2781.746621886283
1297,1.942626728110599,2972.1733,1647.373,2839.8696,1399.7036,11428.278285679398,3076.1249192792247,11235.251597289858,2871.704759833763
1297,2.0427649769585257,2900.0554,1690.2085,2782.3196,1441.9885,11364.402027491764,3173.378311990592,11178.687691065783,2962.364002082463
1297,2.1429032258064518,2827.9902,1728.9475,2724.3428,1481.1158,11298.758419613194,3270.702279822231,11120.548680682132,3053.3517824264413
1297,2.243041474654378,2756.2305,1763.7656,2666.1316,1517.1603,11231.337274043437,3367.7674710820734,11060.811345600056,3144.3533513301572
1297,2.3431797235023044,2684.9873,1794.8175,2607.8674,1550.2114,11162.149976403234,3464.2936363774693,10999.47307733566,3235.100676226556
1297,2.4433179723502305,2614.4666,1822.3036,2549.717,1580.369,11091.224464760242,3560.040860880961,10936.547132772075,3325.363941327074
1297,2.5434562211981566,2544.833,1846.3971,2491.832,1607.7396,11018.601475555299,3654.8027634719524,10872.059098194144,3414.9449640651264
1297,2.643594470046083,2476.2385,1867.2933,2434.351,1632.4362,10944.33168885472,3748.40116240719,10806.04421150501,3503.6720407654348
1297,2.7437327188940093,2408.808,1885.1796,2377.3953,1654.5743,10868.473521921596,3840.681845881253,10738.545302005103,3591.395869349359
1297,2.8438709677419354,2342.6487,1900.2378,2321.0764,1674.2787,10791.09139719685,3931.511183121368,10669.61118100895,3677.986291649286
1297,2.944009216589862,2277.8499,1912.6616,2265.4888,1691.664,10712.254362512147,4020.7733807281716,10599.295366160732,3763.3296651403607
